"Country Name","Country Code","Unit Name","Unit Code",Time Period,"Brent Crude  (POILBRE)","Coal index  (PCOAL)","Coal, Australia (PCOALAU)","Coal, South Africa  (PCOALSA)","Dubai Crude  (POILDUB)","Natural gas, EU (PNGASEU)","Rare Earth Elements (PREODOM)","WTI Crude  (POILWTI)",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",1993,"-11.7442433190998","-13.2545670132938","-18.7466234467855","-6.50289017341042","-12.87379617177","9.86610400553669",,"-10.244394193756",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",1994,"-6.58540864847993","4.47046814127697","3.08510638297872","5.95054095826893","-1.73284567257944","-11.0006437420563",,"-7.06985879146495",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",1995,"7.76388809718627","22.6031643113684","21.8937048503612","23.3406272793581","9.67853162064009","16.5885875634374",,"7.25796840483906",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",1996,"20.9886320435776","-4.06657406100339","-3.29551708081109","-4.85866351271437","14.8648684006664","1.99876491999435",,"20.2991898799775",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",1997,"-7.199962469905","-7.15599762252719","-7.81369695112608","-6.469257353124","-2.00817369065895","-2.89562243764662",,"-7.04637789779021",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",1998,"-32.0248619445426","-15.569576374512","-16.7192953298986","-14.3863473244903","-32.7243557022399","-15.9292640040842",,"-30.2225333867089",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",1999,"37.9545707499422","-10.4922499627589","-11.4234398608775","-9.56003353308289","40.7579408053559","-19.512496602786",,"33.8999856013603",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",2000,"59.2938240598208","5.46264526809823","1.3839716768587","9.46168634990386","52.5810396890544","91.1452728670254",,"57.691423162116",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",2001,"-14.3230119206531","25.378846419425","23.0952380952381","27.4526408229833","-12.9944724215745","12.1406741882855",,"-14.5177171699138",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",2002,"1.62392585751722","-19.9500947493222","-16.2553191489362","-23.1906882889977","4.17140288074701","-31.1596369411031",,"0.692380235489418",
